corpus;text
1;the significance of pseudomonas aeruginosa infection in the respiratory tract of cystic fibrosis patients have been studied by means of immunoelectrophoretical analysis of patients sera for the number of precipitins against pseudomonas aeruginosa and the concentrations of serum proteins in addition the clinical and radiographical status of the lungs have been evaluated using scoring systems precipitins against pseudomonas aeruginosa were demonstrated in all sera the maximum number in one serum was the concentrations of of the serum proteins were significantly changed compared with matched control persons notably igg and iga were elevated and the acute phase proteins were changed the latter suggesting active tissue damage the concentrations of of the acute phase proteins notably haptoglobin were correlated to the number of precipitins suggesting that the respiratory tract infection in patients with many precipitins is accompanied by more tissue damage than the infection in patients with few precipitins the results indicate no protective value of the many precipitins on the tissue of the respiratory tract
2;salivary amylase levels were determined in normal subjects from birth until adult life and in children with conditions sometimes associated with low pancreatic amylase such as malnutrition coeliac disease and cystic fibrosis mixed saliva was collected under carefully standardised conditions and amylase was measured by the method of dahlqvist there was a wide scatter of values in the normal subjects but concentrations rose from very low levels at birth to reach adult levels by the age of months to year salivary amylase activity rose normally over ten weeks in one premature infant fed milk by gastrostomy thirteen children with coeliac disease and children with cystic fibrosis mostly had normal salivary amylase concentrations six out of malnourished children with jejunal villous atrophy of uncertain aetiology had low levels which rose to normal as recovery began
3;this article reports on the possibility of using instrumental neutron activation analysis inaa of sodium in nail clippings for diagnosing cystic fibrosis cf in children and adults for detecting heterozygotes and for screening in the neonatal period nail clippings from newborns cf patients two of them newborns healthy controls and heterozygotes were analyzed the discrimination between cf patients and controls was found to be precise for individuals above one year of age and inaa of nail clippings should be accepted as a diagnostic test for cf after this age heterozygotes could not be detected by the method during the first five days of life there is a big overlap between the values from normal newborns and those of cf children which makes the method invaluable for early screening for cf
4;instrumental neutron activation analysis inaa of nail clippings was used in the development of a diagnostic method for cystic fibrosis cf from cf patients and controls more than three years old nail clippings were sampled for tests of different errors as a result of this study a precise collection routine was outlined sodium is easily washed out from nail clippings the risk of sodium contamination of the nails seems to be small the sodium distribution in the nail is inhomogeneous and the sodium content varies also from nail to nail in the same person there is good evidence that the increased sodium in the nails of cf patients comes from the sweat there seems to be a basic intrinsic sodium level which is about the same in the nails of cf patients as in controls the precision and accuracy of inaa for determining sodium in nails is considered satisfactory it is concluded that inaa of the sodium concentration in nail clippings is a suitable method as an aid in the diagnosis of cf if a precise collection routine is used
5;the capacity of duodenal juice to hydrolyse casein to trichloroacetic acid soluble peptides was investigated in a control group infants and children and adults in children with pancreatic disease in children with enterogenic malabsorption coeliac disease and cow s milk protein intolerance the proteolytic activity per ml duodenal juice in fasting condition was as great in healthy infants and children as healthy adults mg casein ml hour there was a good correlation between trypsin content and proteolytic activity of duodenal juice in pancreatic insufficiency the proteolytic activity was extremely low not measurable in patients as was the trypsin activity whereas in enterogenic malabsorption it was within the ranges of the controls
6;the influence of chronic ps aeruginosa infection on the occurrence of bone marrow derived lymphocytes b cells and thymus derived lymphocytes t cells in peripheral blood have been studied in groups of patients with cystic fibrosis one group patients suffered from chronic ps aeruginosa infection in the respiratory tract and produced multiple ps aeruginosa precipitins which were demonstrated by means of crossed immunoelectrophoresis the other group patients had never harboured ps aeruginosa in the respiratory tract and presented no demonstrable precipitins against this bacteria the lymphocytes were examined for the presence of surface markers for b cells receptor for c complement component eac rosette formation and surface immunoglobulins immunofluorescent staining and for the presence of surface marker for t cells spontaneous binding of sheep red blood cells e rosette formation the b t cell ratio was nearly identical in the groups of patients whereas the total numbers of b and t cells were significant higher in patients with chronic ps aeruginosa infection the number of ps aeruginosa precipitins per serum was significantly positively correlated to the total number of t cells wheras the correlation with the total number of b cells was insignificant
7;the occurrence of pseudomonas aeruginosa in the respiratory tract of cystic fibrosis patients and the occurrence of precipitins against ps aeruginosa in sera from the same patients have been investigated during one year by means of monthly bacteriological examinations of tracheal secretions and by means of crossed immunoelectrophoresis of a polyvalent ps aeruginosa antigen against sera from the patients the one year period prevalence rate of patients harbouring ps aeruginosa was per cent in newly colonized patients and in intermittently colonized patients non mucoid strains were predominating whereas mucoid strains were predominating in chronically colonized patients the occurrence of mucoid strains especially in chronically colonized patients was associated with a significantly higher number of precipitins against ps aeruginosa than the occurrence of non mucoid strains males chronically colonized with mucoid strains presented a significantly higher number of precipitins than females chronically colonized with mucoid strains and the number of precipitins was correlated with the duration of the chronic colonization with ps aeruginosa in males in contrast to females the results are in accordance with the hypothesis that mucoid substance could be a virulence factor because it might inhibit the opsonizing effect of the precipitins on the mucoid cells and the complement dependent lysis of the cells hereby favouring mucoid strains at the expense on non mucoid strains in the respiratory tract of cystic fibrosis patients
8;seventy patients with cystic fibrosis treated as out patients in a cystic fibrosis clinic have been followed during one year by monthly bacteriological examinations of tracheal secretions the daily impression obtained in the laboratory is expressed by the mean point prevalence rate of pseudomonas aeruginosa per cent staphylococcus aureus per cent haemophilus influenzae per cent diplococcus pneumoniae per cent and miscellaneous other bacteria mainly enterobacteriaceae per cent the fluctuations of the bacteriology are described by additional epidemiological terms at one or more examinations during the study period prevalence rate per cent of the patients harboured st aureus per cent ps aeruginosa mainly mucoid strains per cent h influenzae per cent d pneumoniae and per cent miscellaneous other bacteria mainly enterobacteriaceae this pattern was found in all age groups with minor age dependent modifications especially as regards enterobacteriaceae ps aeruginosa was predominating as regards chronic colonization which reflects the most difficult therapeutic problems the period prevalence rate being per cent in contrast to st aureus per cent and h influenzae per cent st aureus was predominating as regards new colonization and recolonization which reflect the problems of prevention the incidence rate of new colonization and recolonization per risk group being per cent followed by h influenzae per cent ps aeruginosa per cent and d pneumoniae per cent the results show that the bacteriological problems in cystic fibrosis are still considerable as regards therapy as well as prevention although many species may colonize the respiratory tracts of these patients the main clinical problems concern ps aeruginosa and st aureus the reason why is discussed
9;a family is presented in which celiac sprue and cystic fibrosis occurred within the same sibship a cousin of the index case was also discovered to have celiac sprue the genetics and incidence of both conditions is reviewed it is estimated that the likelihood of this association occurring on the basis of chance in this family is in
10;a patient exhibited the features of both kartagener syndrome and cystic fibrosis at most to the authors knowledge this represents the third such report of the combination cystic fibrosis should be excluded before a diagnosis of kartagener syndrome is made
11;the prevalence of respiratory allergies and their effects on the course of cystic fibrosis cf were studied in patients fifteen patients had respiratory allergies as defined by history physical examination positive allergy skin tests nasal and peripheral eosinophilia and reversible airway obstruction serum immunoglobulins on these allergic cf and nonallergic cf patients were elevated when compared with those in normal age matched controls the allergic cf patients had significantly higher ige levels mean international units iu compared to iu igg igm and iga levels were similar in the two cf groups the clinical condition of the allergic cf patients shwachman score was better than the nonallergic suggesting some modulating effect of respiratory allergy on the severity of the disease
12;taussig et al reported a case of a year old boy with the russell variant of the silver russell syndrome concomitant with cystic fibrosis we would like to describe another patient who had the same combination of diseases the pattern of clinical findings in this patient are in accordance with that of the silver russell syndrome it is of course possible that the development of cystic fibrosis in this patient is entirely accidental although such a coincidence would be a statistically rare event the establishment of a possible relationship between these two conditions would depend on reports of other similar cases
13;an intensive search for blacks with cystic fibrosis cf in washington dc during the period to disclosed black patients eight of whom were born in the district of columbia during this decade the calculated incidence of cf is at least one in black newborns the clinical course and pathological changes in blacks with cf are similar to those in whites genetic considerations point to autosomal recessive inheritance in blacks which is generally accepted for whites with this disease
14;prenatal diagnosis of genetic disorders has received increasing attention during the past several years rapid expansion of our knowledge of the basis of genetic disease and the development of reliable diagnostic methods have led to rapid advances in the intrauterine diagnosis of a large number of inherited disorders prenatal diagnosis was initially used to determine the presence of down s syndrome and other chromosomal abnormalities and for the determination of fetal sex in pregnancies at risk for a number of severe x linked recessive disorders shortly thereafter it became clear that the same techniques could be applied to the prenatal diagnosis of a number of the inborn errors of metabolism most recently a number of new techniques have been developed that may prove to be of great value in the prenatal diagnosis of a number of severe congenital malformations that before now could not be diagnosed prior to birth the goal of this review is to define the past achievements future goals and present limitations of intrauterine diagnosis the first section will deal with the general approaches used in prenatal diagnosis of genetic disorders this will be followed by a discussion of the specific applications of the basic techniques to the intrauterine diagnosis of chromosomal abnormalities and of the inborn errors of metabolism approaches to prenatal diagnosis of genetic disorders include amniocentesis direct and indirect visualization of the fetus analysis of maternal blood and urine and sampling of fetal tissues applications of prenatal genetic diagnosis include x linked recessive disorders chromosomal abnormalities inborn errors of metabolism disorders of lipid metabolism disorders of carbohydrate metabolism disorders of mucopolysaccharide metabolism disorders of amino acid metabolism and miscellaneous disorders such as cystic fibrosis these techniques provide some parents with methods for having children without fear of having a child with a specific deformity in addition to the development of approaches which will increase the number of disorders detectable in utero the potential for treatment of genetic disorders is unlimited
15;three of the women in a cystic fibrosis clinic who used a combined form of oral contraceptive developed acute polypoid cervicitis in one woman the polyp recurred on reinstitution of the medication there was resolution of the polyp in each instance on discontinuation of the drugs in of the affected women there was coincidental deterioration of respiratory status therefore it is suggested that cystic fibrosis patients who are using oral contraception be observed closely regarding pulmonary and gynecologic status
16;the syndrome of ataxia telangiectasia is characterized by ataxia progressive neurologic degeneration cutaneous and conjunctival telangiectasis and immunologic deficiency roentgenologic evidence of chronic pulmonary and sinus infections and decreased lymphoid tissue will usually be present as the sinopulmonary abnormalities resemble those of cystic fibrosis a small adenoidal mass may be of differential aid
17;cystic fibrosis is no longer rare in adults the lung is the main target organ and the basic lesion is bronchial obstruction leading to bronchiectasis interstitial infiltrates and cyst like changes are characteristic on roentgenography complications include pulmonary hypertension pneumonitis hemorrhage and pneumothorax little correlation exists between respiratory tract and pancreatic and gastrointestinal involvement despite similarities in pathogenesis pulmonary cystic fibrosis in adults does not always resemble the condition in children and must be differentiated from other chronic interstitial diseases
18;as far as rabbit alveolar macrophages are concerned the concentration of homozygous cf serum used in our experiments was even greater than the fourfold concentration which biggar and associates state was required for normal phagocytosis increasing dilutions of homozygous cf sera with either hanks balanced salt solution or normal human serum thus decreasing its concentration increased the capacity of the rabbit alveolar macrophages to phagocytize and kill pseudomonas aeruginosa increasing concentrations had just the opposite effect suspension of rabbit alveolar macrophages in human serum reduced their phagocytic activity but activity was reduced more by human cf serum than by human normal serum this is not unexpected because high human serum concentrations are likely to be toxic to rabbit alveolar macrophages because the inhibition of phagocytosis was absent when homozygous cf serum more than hours old or previously heated or frozen was used and because of our observations that dilution increased macrophage phagocytic ability we feel our data demonstrate the presence of a labile inhibitor rather than a deficiency since it is well known that cf patients have normal or elevated concentrations of immunoglobulins including iga in their sera and pulmonary secretions and respond to infection and iga has not been shown to be essential for alveolar macrophage phagocytosis of pseudomonas aeruginosa we cannot agree that this inhibition is due to an iga deficiency we also note that some of the sera used in the experiments of biggar and associates were stored at degrees c perhaps this may account for the difference in results
19;we assayed the serum of a group of cystic fibrosis patients that were on oral arginine therapy and that of a group of cystic fibrosis patients that were not receiving this treatment for total arginine esterase activity the untreated cystic fibrosis patients have significantly lower serum arginine esterase activity than the normal controls the cystic fibrosis carriers and the cystic fibrosis patients receiving oral arginine therapy there is no significant difference between the arginine esterase activity of the normal controls and the cystic fibrosis carriers or the cystic fibrosis patients treated with arginine we have recently observed differences in the arginine esterases in plasma of controls and patients by electrofusing on polyacrylamide gels six activity bands could be detected in plasma of controls whereas only five could be detected in plasma of patients our work on the deficiency of trypsin like activity in mixed saliva of patients with cystic fibrosis has been reproduced by another laboratory coburn recently confirmed our work on deficiency of arginine esterase in serum of patients with cystic fibrosis at present the deficiency of arginine esterase in cystic fibrosis is a working hypothesis to understand the basic defect the variations of ph and sodium chloride content that i employed had been tested by me in patients both with and without a diagnosis of cystic fibrosis and were found not to alter the level of arginine esterase activity the major differences between the two studies resulted from the control subjects dr rao neglects to mention the few other laboratories that were unable to confirm his findings
20;the ability to detect abnormalities of lung function in children with asthma and cystic fibrosis by the measurement of closing volume was studied in children flow volume characteristics routine spirometry body plethysmography and arterialized oxygen tensions were studied for comparison with closing volume closing volume was less sensitive in detecting disease than were the residual volume to total lung capacity ratio maximum expiratory flow volume curves and arterialized blood gases
21;five parents of children with cystic fibrosis developed allergic bronchospasm after inhaling pancreatic extracts sprinkled on their children s food there was a positive history of allergy but no past history of asthma in any of the parents asthma responded to bronchodilators and use of a face mask during preparation of meals prevented recurrences to date asthma precipitates by inhalation of pancreatic extracts has not been seen in any of the patients with cystic fibrosis
