corpus;text
1;THE SIGNIFICANCE OF PSEUDOMONAS AERUGINOSA INFECTION IN THE RESPIRATORY TRACT OF CYSTIC FIBROSIS PATIENTS HAVE BEEN STUDIED BY MEANS OF IMMUNOELECTROPHORETICAL ANALYSIS OF PATIENTS SERA FOR THE NUMBER OF PRECIPITINS AGAINST PSEUDOMONAS AERUGINOSA AND THE CONCENTRATIONS OF SERUM PROTEINS IN ADDITION THE CLINICAL AND RADIOGRAPHICAL STATUS OF THE LUNGS HAVE BEEN EVALUATED USING SCORING SYSTEMS PRECIPITINS AGAINST PSEUDOMONAS AERUGINOSA WERE DEMONSTRATED IN ALL SERA THE MAXIMUM NUMBER IN ONE SERUM WAS THE CONCENTRATIONS OF OF THE SERUM PROTEINS WERE SIGNIFICANTLY CHANGED COMPARED WITH MATCHED CONTROL PERSONS NOTABLY IGG AND IGA WERE ELEVATED AND THE ACUTE PHASE PROTEINS WERE CHANGED THE LATTER SUGGESTING ACTIVE TISSUE DAMAGE THE CONCENTRATIONS OF OF THE ACUTE PHASE PROTEINS NOTABLY HAPTOGLOBIN WERE CORRELATED TO THE NUMBER OF PRECIPITINS SUGGESTING THAT THE RESPIRATORY TRACT INFECTION IN PATIENTS WITH MANY PRECIPITINS IS ACCOMPANIED BY MORE TISSUE DAMAGE THAN THE INFECTION IN PATIENTS WITH FEW PRECIPITINS THE RESULTS INDICATE NO PROTECTIVE VALUE OF THE MANY PRECIPITINS ON THE TISSUE OF THE RESPIRATORY TRACT
2;SALIVARY AMYLASE LEVELS WERE DETERMINED IN NORMAL SUBJECTS FROM BIRTH UNTIL ADULT LIFE AND IN CHILDREN WITH CONDITIONS SOMETIMES ASSOCIATED WITH LOW PANCREATIC AMYLASE SUCH AS MALNUTRITION COELIAC DISEASE AND CYSTIC FIBROSIS MIXED SALIVA WAS COLLECTED UNDER CAREFULLY STANDARDISED CONDITIONS AND AMYLASE WAS MEASURED BY THE METHOD OF DAHLQVIST THERE WAS A WIDE SCATTER OF VALUES IN THE NORMAL SUBJECTS BUT CONCENTRATIONS ROSE FROM VERY LOW LEVELS AT BIRTH TO REACH ADULT LEVELS BY THE AGE OF MONTHS TO YEAR SALIVARY AMYLASE ACTIVITY ROSE NORMALLY OVER TEN WEEKS IN ONE PREMATURE INFANT FED MILK BY GASTROSTOMY THIRTEEN CHILDREN WITH COELIAC DISEASE AND CHILDREN WITH CYSTIC FIBROSIS MOSTLY HAD NORMAL SALIVARY AMYLASE CONCENTRATIONS SIX OUT OF MALNOURISHED CHILDREN WITH JEJUNAL VILLOUS ATROPHY OF UNCERTAIN AETIOLOGY HAD LOW LEVELS WHICH ROSE TO NORMAL AS RECOVERY BEGAN
3;THIS ARTICLE REPORTS ON THE POSSIBILITY OF USING INSTRUMENTAL NEUTRON ACTIVATION ANALYSIS INAA OF SODIUM IN NAIL CLIPPINGS FOR DIAGNOSING CYSTIC FIBROSIS CF IN CHILDREN AND ADULTS FOR DETECTING HETEROZYGOTES AND FOR SCREENING IN THE NEONATAL PERIOD NAIL CLIPPINGS FROM NEWBORNS CF PATIENTS TWO OF THEM NEWBORNS HEALTHY CONTROLS AND HETEROZYGOTES WERE ANALYZED THE DISCRIMINATION BETWEEN CF PATIENTS AND CONTROLS WAS FOUND TO BE PRECISE FOR INDIVIDUALS ABOVE ONE YEAR OF AGE AND INAA OF NAIL CLIPPINGS SHOULD BE ACCEPTED AS A DIAGNOSTIC TEST FOR CF AFTER THIS AGE HETEROZYGOTES COULD NOT BE DETECTED BY THE METHOD DURING THE FIRST FIVE DAYS OF LIFE THERE IS A BIG OVERLAP BETWEEN THE VALUES FROM NORMAL NEWBORNS AND THOSE OF CF CHILDREN WHICH MAKES THE METHOD INVALUABLE FOR EARLY SCREENING FOR CF
4;INSTRUMENTAL NEUTRON ACTIVATION ANALYSIS INAA OF NAIL CLIPPINGS WAS USED IN THE DEVELOPMENT OF A DIAGNOSTIC METHOD FOR CYSTIC FIBROSIS CF FROM CF PATIENTS AND CONTROLS MORE THAN THREE YEARS OLD NAIL CLIPPINGS WERE SAMPLED FOR TESTS OF DIFFERENT ERRORS AS A RESULT OF THIS STUDY A PRECISE COLLECTION ROUTINE WAS OUTLINED SODIUM IS EASILY WASHED OUT FROM NAIL CLIPPINGS THE RISK OF SODIUM CONTAMINATION OF THE NAILS SEEMS TO BE SMALL THE SODIUM DISTRIBUTION IN THE NAIL IS INHOMOGENEOUS AND THE SODIUM CONTENT VARIES ALSO FROM NAIL TO NAIL IN THE SAME PERSON THERE IS GOOD EVIDENCE THAT THE INCREASED SODIUM IN THE NAILS OF CF PATIENTS COMES FROM THE SWEAT THERE SEEMS TO BE A BASIC INTRINSIC SODIUM LEVEL WHICH IS ABOUT THE SAME IN THE NAILS OF CF PATIENTS AS IN CONTROLS THE PRECISION AND ACCURACY OF INAA FOR DETERMINING SODIUM IN NAILS IS CONSIDERED SATISFACTORY IT IS CONCLUDED THAT INAA OF THE SODIUM CONCENTRATION IN NAIL CLIPPINGS IS A SUITABLE METHOD AS AN AID IN THE DIAGNOSIS OF CF IF A PRECISE COLLECTION ROUTINE IS USED
5;THE CAPACITY OF DUODENAL JUICE TO HYDROLYSE CASEIN TO TRICHLOROACETIC ACID SOLUBLE PEPTIDES WAS INVESTIGATED IN A CONTROL GROUP INFANTS AND CHILDREN AND ADULTS IN CHILDREN WITH PANCREATIC DISEASE IN CHILDREN WITH ENTEROGENIC MALABSORPTION COELIAC DISEASE AND COW S MILK PROTEIN INTOLERANCE THE PROTEOLYTIC ACTIVITY PER ML DUODENAL JUICE IN FASTING CONDITION WAS AS GREAT IN HEALTHY INFANTS AND CHILDREN AS HEALTHY ADULTS MG CASEIN ML HOUR THERE WAS A GOOD CORRELATION BETWEEN TRYPSIN CONTENT AND PROTEOLYTIC ACTIVITY OF DUODENAL JUICE IN PANCREATIC INSUFFICIENCY THE PROTEOLYTIC ACTIVITY WAS EXTREMELY LOW NOT MEASURABLE IN PATIENTS AS WAS THE TRYPSIN ACTIVITY WHEREAS IN ENTEROGENIC MALABSORPTION IT WAS WITHIN THE RANGES OF THE CONTROLS
6;THE INFLUENCE OF CHRONIC PS AERUGINOSA INFECTION ON THE OCCURRENCE OF BONE MARROW DERIVED LYMPHOCYTES B CELLS AND THYMUS DERIVED LYMPHOCYTES T CELLS IN PERIPHERAL BLOOD HAVE BEEN STUDIED IN GROUPS OF PATIENTS WITH CYSTIC FIBROSIS ONE GROUP PATIENTS SUFFERED FROM CHRONIC PS AERUGINOSA INFECTION IN THE RESPIRATORY TRACT AND PRODUCED MULTIPLE PS AERUGINOSA PRECIPITINS WHICH WERE DEMONSTRATED BY MEANS OF CROSSED IMMUNOELECTROPHORESIS THE OTHER GROUP PATIENTS HAD NEVER HARBOURED PS AERUGINOSA IN THE RESPIRATORY TRACT AND PRESENTED NO DEMONSTRABLE PRECIPITINS AGAINST THIS BACTERIA THE LYMPHOCYTES WERE EXAMINED FOR THE PRESENCE OF SURFACE MARKERS FOR B CELLS RECEPTOR FOR C COMPLEMENT COMPONENT EAC ROSETTE FORMATION AND SURFACE IMMUNOGLOBULINS IMMUNOFLUORESCENT STAINING AND FOR THE PRESENCE OF SURFACE MARKER FOR T CELLS SPONTANEOUS BINDING OF SHEEP RED BLOOD CELLS E ROSETTE FORMATION THE B T CELL RATIO WAS NEARLY IDENTICAL IN THE GROUPS OF PATIENTS WHEREAS THE TOTAL NUMBERS OF B AND T CELLS WERE SIGNIFICANT HIGHER IN PATIENTS WITH CHRONIC PS AERUGINOSA INFECTION THE NUMBER OF PS AERUGINOSA PRECIPITINS PER SERUM WAS SIGNIFICANTLY POSITIVELY CORRELATED TO THE TOTAL NUMBER OF T CELLS WHERAS THE CORRELATION WITH THE TOTAL NUMBER OF B CELLS WAS INSIGNIFICANT
7;THE OCCURRENCE OF PSEUDOMONAS AERUGINOSA IN THE RESPIRATORY TRACT OF CYSTIC FIBROSIS PATIENTS AND THE OCCURRENCE OF PRECIPITINS AGAINST PS AERUGINOSA IN SERA FROM THE SAME PATIENTS HAVE BEEN INVESTIGATED DURING ONE YEAR BY MEANS OF MONTHLY BACTERIOLOGICAL EXAMINATIONS OF TRACHEAL SECRETIONS AND BY MEANS OF CROSSED IMMUNOELECTROPHORESIS OF A POLYVALENT PS AERUGINOSA ANTIGEN AGAINST SERA FROM THE PATIENTS THE ONE YEAR PERIOD PREVALENCE RATE OF PATIENTS HARBOURING PS AERUGINOSA WAS PER CENT IN NEWLY COLONIZED PATIENTS AND IN INTERMITTENTLY COLONIZED PATIENTS NON MUCOID STRAINS WERE PREDOMINATING WHEREAS MUCOID STRAINS WERE PREDOMINATING IN CHRONICALLY COLONIZED PATIENTS THE OCCURRENCE OF MUCOID STRAINS ESPECIALLY IN CHRONICALLY COLONIZED PATIENTS WAS ASSOCIATED WITH A SIGNIFICANTLY HIGHER NUMBER OF PRECIPITINS AGAINST PS AERUGINOSA THAN THE OCCURRENCE OF NON MUCOID STRAINS MALES CHRONICALLY COLONIZED WITH MUCOID STRAINS PRESENTED A SIGNIFICANTLY HIGHER NUMBER OF PRECIPITINS THAN FEMALES CHRONICALLY COLONIZED WITH MUCOID STRAINS AND THE NUMBER OF PRECIPITINS WAS CORRELATED WITH THE DURATION OF THE CHRONIC COLONIZATION WITH PS AERUGINOSA IN MALES IN CONTRAST TO FEMALES THE RESULTS ARE IN ACCORDANCE WITH THE HYPOTHESIS THAT MUCOID SUBSTANCE COULD BE A VIRULENCE FACTOR BECAUSE IT MIGHT INHIBIT THE OPSONIZING EFFECT OF THE PRECIPITINS ON THE MUCOID CELLS AND THE COMPLEMENT DEPENDENT LYSIS OF THE CELLS HEREBY FAVOURING MUCOID STRAINS AT THE EXPENSE ON NON MUCOID STRAINS IN THE RESPIRATORY TRACT OF CYSTIC FIBROSIS PATIENTS
8;SEVENTY PATIENTS WITH CYSTIC FIBROSIS TREATED AS OUT PATIENTS IN A CYSTIC FIBROSIS CLINIC HAVE BEEN FOLLOWED DURING ONE YEAR BY MONTHLY BACTERIOLOGICAL EXAMINATIONS OF TRACHEAL SECRETIONS THE DAILY IMPRESSION OBTAINED IN THE LABORATORY IS EXPRESSED BY THE MEAN POINT PREVALENCE RATE OF PSEUDOMONAS AERUGINOSA PER CENT STAPHYLOCOCCUS AUREUS PER CENT HAEMOPHILUS INFLUENZAE PER CENT DIPLOCOCCUS PNEUMONIAE PER CENT AND MISCELLANEOUS OTHER BACTERIA MAINLY ENTEROBACTERIACEAE PER CENT THE FLUCTUATIONS OF THE BACTERIOLOGY ARE DESCRIBED BY ADDITIONAL EPIDEMIOLOGICAL TERMS AT ONE OR MORE EXAMINATIONS DURING THE STUDY PERIOD PREVALENCE RATE PER CENT OF THE PATIENTS HARBOURED ST AUREUS PER CENT PS AERUGINOSA MAINLY MUCOID STRAINS PER CENT H INFLUENZAE PER CENT D PNEUMONIAE AND PER CENT MISCELLANEOUS OTHER BACTERIA MAINLY ENTEROBACTERIACEAE THIS PATTERN WAS FOUND IN ALL AGE GROUPS WITH MINOR AGE DEPENDENT MODIFICATIONS ESPECIALLY AS REGARDS ENTEROBACTERIACEAE PS AERUGINOSA WAS PREDOMINATING AS REGARDS CHRONIC COLONIZATION WHICH REFLECTS THE MOST DIFFICULT THERAPEUTIC PROBLEMS THE PERIOD PREVALENCE RATE BEING PER CENT IN CONTRAST TO ST AUREUS PER CENT AND H INFLUENZAE PER CENT ST AUREUS WAS PREDOMINATING AS REGARDS NEW COLONIZATION AND RECOLONIZATION WHICH REFLECT THE PROBLEMS OF PREVENTION THE INCIDENCE RATE OF NEW COLONIZATION AND RECOLONIZATION PER RISK GROUP BEING PER CENT FOLLOWED BY H INFLUENZAE PER CENT PS AERUGINOSA PER CENT AND D PNEUMONIAE PER CENT THE RESULTS SHOW THAT THE BACTERIOLOGICAL PROBLEMS IN CYSTIC FIBROSIS ARE STILL CONSIDERABLE AS REGARDS THERAPY AS WELL AS PREVENTION ALTHOUGH MANY SPECIES MAY COLONIZE THE RESPIRATORY TRACTS OF THESE PATIENTS THE MAIN CLINICAL PROBLEMS CONCERN PS AERUGINOSA AND ST AUREUS THE REASON WHY IS DISCUSSED
9;A FAMILY IS PRESENTED IN WHICH CELIAC SPRUE AND CYSTIC FIBROSIS OCCURRED WITHIN THE SAME SIBSHIP A COUSIN OF THE INDEX CASE WAS ALSO DISCOVERED TO HAVE CELIAC SPRUE THE GENETICS AND INCIDENCE OF BOTH CONDITIONS IS REVIEWED IT IS ESTIMATED THAT THE LIKELIHOOD OF THIS ASSOCIATION OCCURRING ON THE BASIS OF CHANCE IN THIS FAMILY IS IN
10;A PATIENT EXHIBITED THE FEATURES OF BOTH KARTAGENER SYNDROME AND CYSTIC FIBROSIS AT MOST TO THE AUTHORS KNOWLEDGE THIS REPRESENTS THE THIRD SUCH REPORT OF THE COMBINATION CYSTIC FIBROSIS SHOULD BE EXCLUDED BEFORE A DIAGNOSIS OF KARTAGENER SYNDROME IS MADE
